,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
1006,10/18/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor),dd3-all,Project Management,Other,Non-Core,,1,0,1,1,0
2943,9/20/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Design,London,Non-Core,,2,0,0,0,0
2620,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd7-all,Design,New York,Non-Core,,1,0,1,1,0
3256,10/18/2018,twitter,(b2c)(l-all)(r-swe)(onboardllav2),dd6-all,Data Analytics,New York,Non-Core,,1,0,1,1,0
4378,10/18/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Design,France,Non-Core,,1,0,1,1,0
6396,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Information Technology (IT),Boston,Non-Core,,1,0,1,1,0
6922,10/18/2018,facebook,(b2c)(l-nyc)(r-swe)(tech-geoswe-nyc-dnf),link-citytestnyc,Data Analytics,Philadelphia,Non-Core,,1,0,1,1,0
7500,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Project Management,Dallas/Ft Worth,Non-Core,,1,0,1,1,0
3004,9/24/2018,facebook,(b2c)(l-all)(r-swe)(conversions),,Design,New York,Non-Core,,1,0,0,0,0
9247,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),jk2-all,Project Management,Seattle,Non-Core,,1,0,1,1,0
9548,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Information Technology (IT),New York,Non-Core,,1,0,1,1,0
10384,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd7-all,Information Technology (IT),Seattle,Non-Core,,1,0,1,1,0
3058,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,Other,France,Non-Core,,1,0,1,0,0
3064,10/21/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Engineering Management,London,Non-Core,,1,0,0,0,0
10412,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Project Management,Boston,Non-Core,,1,0,1,1,0
3086,9/24/2018,facebook,(b2c)(l-all)(r-all)(conversions),,,Boston,Non-Core,,1,0,0,0,0
3099,9/25/2018,facebook,(b2c)(fr)(r-swe)(conversions),,,France,Non-Core,,1,0,0,0,0
3104,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Information Technology (IT),Boston,Non-Core,,1,0,0,0,0
3118,10/21/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),dd3-all,Other,Seattle,Non-Core,,1,0,1,0,0
3119,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Other,New York,Non-Core,,1,0,0,0,0
3126,10/22/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
